id,date,closing_price,circulating_supply,market_cap,market_cap_rank,total_volume_day
binancecoin,2024-08-13,518.75,145887575.79,75670419007.80066,5,1003673165.5908452
binancecoin,2024-08-14,523.55,145887575.79,76342061983.68185,5,967141273.6618243
binancecoin,2024-08-15,523.84,145887575.79,76380430420.0317,5,791043544.1797582
binancecoin,2024-08-16,519.99,145887575.79,75841500331.08524,5,835902359.0401022
binancecoin,2024-08-17,519.72,145887575.79,75855800746.29582,5,721531477.325509
binancecoin,2024-08-18,542.03,145887575.79,79079252404.1194,5,665967566.2581954
binancecoin,2024-08-19,530.6,145887575.79,77408470293.99077,5,641658585.5509945
binancecoin,2024-08-20,561.35,145887575.79,81819968892.46297,5,835825601.7907687
binancecoin,2024-08-21,569.51,145887575.79,83358274544.39061,5,1333942724.7945085
binancecoin,2024-08-22,569.55,145887575.79,83056570988.02866,5,1112040435.3405745
binancecoin,2024-08-23,583.76,145887575.79,85179220985.07648,5,1204928827.4745126
binancecoin,2024-08-24,590.47,145887575.79,86138952585.00223,5,1209666815.6702597
binancecoin,2024-08-25,580.91,145887575.79,84650512772.08447,5,1096537691.4227378
binancecoin,2024-08-26,573.11,145887575.79,83610905694.51266,5,801561228.6776841
binancecoin,2024-08-27,548.85,145887575.79,80080391634.32704,5,971837222.7143232
binancecoin,2024-08-28,534.67,145887575.79,78160031799.81288,5,1042927606.5953478
binancecoin,2024-08-29,536.56,145887575.79,78331630413.95227,5,1100999066.934797
binancecoin,2024-08-30,536.8,145887575.79,78358707308.23318,5,720268698.6317524
binancecoin,2024-08-31,535.45,145887575.79,78116141811.91739,5,856795243.7737503
binancecoin,2024-09-01,532.71,145887575.79,77715922914.05212,5,376648540.750375
binancecoin,2024-09-02,512.86,145887575.79,74829827536.7718,5,694174839.1502885
binancecoin,2024-09-03,526.13,145887575.79,76831499618.63228,5,965913618.7430446
binancecoin,2024-09-04,518.98,145887575.79,75821979841.87625,5,811117819.4505297
binancecoin,2024-09-05,508.0,145887575.79,74082271440.05545,5,1261230278.541177
binancecoin,2024-09-06,502.34,145887575.79,73298353535.19609,5,596939169.894353
binancecoin,2024-09-07,486.61,145887575.79,71044218471.2088,5,1186849723.1851678
binancecoin,2024-09-08,493.17,145887575.79,71876297112.53575,5,590890071.6126567
binancecoin,2024-09-09,502.47,145887575.79,73534080477.2485,5,624529866.452612
binancecoin,2024-09-10,519.04,145887575.79,75762703430.44998,5,841883931.0358859
binancecoin,2024-09-11,517.37,145887575.79,75460567584.08252,5,745525442.6766412
binancecoin,2024-09-12,530.73,145887575.79,77464122682.9438,5,948969872.6117084
binancecoin,2024-09-13,543.99,145887575.79,79366643987.68835,5,940734076.1742952
binancecoin,2024-09-14,557.3,145887575.79,81324118498.18243,5,957150654.2350278
binancecoin,2024-09-15,553.46,145887575.79,80729550771.28122,5,549782251.6100315
binancecoin,2024-09-16,553.53,145887575.79,80738379011.58696,5,739957732.7569236
binancecoin,2024-09-17,534.03,145887575.79,77951289168.31566,5,1185987916.239536
binancecoin,2024-09-18,545.86,145887575.79,79651662029.65852,5,749799587.5539025
binancecoin,2024-09-19,559.26,145887575.79,81414364603.32365,5,800863109.7515539
binancecoin,2024-09-20,565.72,145887575.79,82508263052.88373,5,1072294555.0654228
binancecoin,2024-09-21,568.14,145887575.79,82865805726.7333,5,749877887.8963493
binancecoin,2024-09-22,589.13,145887575.79,86060631709.70407,5,596782454.4087572
binancecoin,2024-09-23,588.0,145887575.79,85792747967.27962,5,610149903.8468648
binancecoin,2024-09-24,604.29,145887575.79,88128290233.23134,5,1300885128.817108
binancecoin,2024-09-25,606.32,145887575.79,88472367696.05081,5,785716722.9769592
binancecoin,2024-09-26,587.45,145887575.79,85624136607.39825,5,869908503.6015983
binancecoin,2024-09-27,596.65,145887575.79,87077034857.04509,5,1166805206.001594
binancecoin,2024-09-28,608.53,145887575.79,88777861760.9806,5,1210015212.5003896
binancecoin,2024-09-29,601.88,145887575.79,87827034865.21294,5,930036415.168794
binancecoin,2024-09-30,596.61,145887575.79,87052731975.43872,5,649177025.9413755
binancecoin,2024-10-01,566.61,145887575.79,82687696155.70758,5,844868785.4516878
binancecoin,2024-10-02,547.67,145887575.79,79897582813.02779,5,1303622283.1272783
binancecoin,2024-10-03,542.14,145887575.79,79089065108.12651,5,962211853.267934
binancecoin,2024-10-04,543.93,145887575.79,79356570336.31575,5,717224492.2556725
binancecoin,2024-10-05,555.73,145887575.79,81042254268.0583,5,642933307.385025
binancecoin,2024-10-06,563.06,145887575.79,82114177423.76372,5,398503138.46767455
binancecoin,2024-10-07,570.39,145887575.79,83265317975.27345,5,460824875.5819792
binancecoin,2024-10-08,564.55,145887575.79,82362634345.85994,5,822476319.5850166
binancecoin,2024-10-09,580.58,145887575.79,84738393992.16469,5,812293173.272375
binancecoin,2024-10-10,570.42,145887575.79,83220162034.19997,5,1120320879.4039862
binancecoin,2024-10-11,562.29,145887575.79,82021809492.13783,5,666418337.8417825
binancecoin,2024-10-12,572.7,145887575.79,83546567873.48314,5,726487414.3748224
binancecoin,2024-10-13,576.42,145887575.79,84061595901.47354,5,514250584.25048655
binancecoin,2024-10-14,572.05,145887575.79,83416290893.81396,5,504380355.1480061
